userId,jobType,priority
user_00001,export,2
user_00002,report,1
user_00003,email,2
user_00004,thumbnail,3
user_00005,export,5
user_00006,export,5
user_00007,index,5
user_00008,email,1
user_00009,thumbnail,4
user_00010,export,1
user_00011,report,4
user_00012,export,3
user_00013,email,1
user_00014,export,1
user_00015,thumbnail,5
user_00016,email,5
user_00017,report,2
user_00018,report,5
user_00019,index,4
user_00020,thumbnail,2
user_00021,index,3
user_00022,email,3
user_00023,report,2
user_00024,index,5
user_00025,email,4
user_00026,thumbnail,2
user_00027,report,4
user_00028,email,1
user_00029,index,5
user_00030,index,5
user_00031,thumbnail,4
user_00032,report,1
user_00033,report,5
user_00034,index,3
user_00035,report,2
user_00036,thumbnail,1
user_00037,export,2
user_00038,email,3
user_00039,thumbnail,3
user_00040,email,5
user_00041,thumbnail,3
user_00042,index,3
user_00043,export,1
user_00044,report,1
user_00045,thumbnail,4
user_00046,report,1
user_00047,email,4
user_00048,thumbnail,3
user_00049,export,2
user_00050,email,4
user_00051,email,1
user_00052,thumbnail,1
user_00053,export,2
user_00054,index,1
user_00055,export,3
user_00056,index,2
user_00057,export,1
user_00058,email,2
user_00059,report,1
user_00060,report,5
user_00061,export,2
user_00062,report,5
user_00063,thumbnail,1
user_00064,thumbnail,3
user_00065,thumbnail,2
user_00066,email,3
user_00067,thumbnail,2
user_00068,export,1
user_00069,email,5
user_00070,email,5
user_00071,index,5
user_00072,email,2
user_00073,export,4
user_00074,thumbnail,1
user_00075,email,2
user_00076,export,3
user_00077,email,1
user_00078,index,1
user_00079,index,3
user_00080,export,3
user_00081,report,1
user_00082,email,5
user_00083,index,5
user_00084,report,1
user_00085,export,4
user_00086,export,1
user_00087,export,5
user_00088,export,1
user_00089,export,5
user_00090,export,3
user_00091,thumbnail,4
user_00092,report,2
user_00093,email,1
user_00094,report,3
user_00095,index,1
user_00096,index,2
user_00097,thumbnail,1
user_00098,thumbnail,3
user_00099,email,3
user_00100,index,3
user_00101,index,2
user_00102,export,5
user_00103,index,1
user_00104,export,4
user_00105,report,4
user_00106,index,2
user_00107,thumbnail,2
user_00108,report,2
user_00109,thumbnail,2
user_00110,export,3
user_00111,index,1
user_00112,email,5
user_00113,email,4
user_00114,thumbnail,4
user_00115,email,5
user_00116,export,5
user_00117,thumbnail,2
user_00118,export,2
user_00119,thumbnail,4
user_00120,email,2
user_00121,thumbnail,1
user_00122,report,5
user_00123,export,3
user_00124,email,2
user_00125,index,2
user_00126,thumbnail,3
user_00127,report,2
user_00128,email,1
user_00129,report,3
user_00130,index,2
user_00131,export,4
user_00132,export,2
user_00133,thumbnail,2
user_00134,email,3
user_00135,email,5
user_00136,report,1
user_00137,email,3
user_00138,report,5
user_00139,email,5
user_00140,report,2
user_00141,export,5
user_00142,index,2
user_00143,email,5
